price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
10-15k,Ford,EcoSport,1.0 EcoBoost,Yellow,70-80k,100-150hp,2016,Benzin,Gear type manual,SUV,Teilleder,0-4.5f,35-50d
0-10k,Renault,Clio,1.2,White,100k+,0-100hp,2014,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,15-25d
20-25k,MINI,MINI,One,Gray,20-30k,100-150hp,2020,Benzin,Gear type automatic,Kombi,Leder,4.5-5.5f,15-25d
15-20k,Mercedes-Benz,C-Klasse,C 180 CGI,Silver,80-90k,150-200hp,2015,Benzin,Gear type manual,Limousine,Teilleder,4.5-5.5f,15-25d
25-30k,Mazda,3,2.0,Brown,20-30k,150-200hp,2020,Benzin,Gear type automatic,Limousine,Leder,4.5-5.5f,35-50d
10-15k,Smart,forfour,0.9 Turbo,Blue,30-40k,0-100hp,2018,Benzin,Gear type automatic,Limousine,Leder,4.5-5.5f,0-7d
20-25k,Volkswagen,Golf VII,1.5 TSI,Gray,60-70k,100-150hp,2018,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,25-35d
15-20k,Opel,Zafira Tourer,1.4 Turbo,White,60-70k,100-150hp,2016,Benzin,Gear type automatic,Van,Stoff,5.5-6.5f,0-7d
10-15k,Nissan,Note,1.2,White,100k+,0-100hp,2016,Benzin,Gear type automatic,Van,Teilleder,4.5-5.5f,35-50d
15-20k,Abarth,595,1.4,White,10-20k,150-200hp,2017,Benzin,Gear type automatic,Limousine,Leder,5.5-6.5f,15-25d
25-30k,Subaru,Levorg,1.6,Gray,20-30k,150-200hp,2018,Benzin,Gear type automatic,Kombi,Leder,+6.5f,25-35d
10-15k,MINI,MINI,Cooper D,Black,80-90k,100-150hp,2015,Diesel,Gear type manual,Limousine,Stoff,0-4.5f,35-50d
15-20k,BMW,3er,320i,Brown,100k+,150-200hp,2014,Benzin,Gear type automatic,Kombi,Teilleder,5.5-6.5f,35-50d
