id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
AL48741,9100,Volkswagen,Tiguan,1.4 TSI,Black,2014,SUV,Stoff,109425,122,1,0,0,1,37
BZ25401,9100,Citroen,C3,1.2 VTi,Black,2018,Limousine,Stoff,35419,82,1,0,0,1,21
CR99343,19589,Ford,Edge,2.0 TDCi Bi-Turbo,Gray,2016,SUV,Leder,99516,210,0,1,1,0,4
BK77361,12271,Ford,Fiesta,1.0 EcoBoost,Red,2018,Limousine,Stoff,40759,140,1,0,0,1,31
EX33850,15454,Volkswagen,Polo,1.8 TSI,White,2016,Limousine,Alcantara,44527,192,1,0,1,0,108
GF40699,12480,Toyota,RAV 4,2.2 D-4D,Black,2013,SUV,Stoff,75236,150,0,1,0,1,89
AN09250,9575,Ford,Focus,1.0 EcoBoost,Gray,2016,Kombi,Stoff,72255,125,1,0,0,1,22
BM36826,13706,Audi,A3,1.4 TFSI,White,2015,Limousine,Stoff,55671,125,1,0,0,1,16
DH19842,9240,Renault,Captur,1.2 TCe,Gray,2014,SUV,Stoff,101399,120,1,0,1,0,8
JC19868,11463,Ford,Focus,2.0 EcoBoost,Silver,2014,Limousine,Leder,119936,250,1,0,0,1,38
JE76761,12017,Opel,Corsa,1.2,Gray,2020,Limousine,Stoff,10238,75,1,0,0,1,18
AM83813,11096,Opel,Crossland X,1.2,Gray,2018,SUV,Stoff,39940,110,1,0,0,1,32
BC53625,14014,Ford,Kuga,1.5 EcoBoost,Black,2017,SUV,Teilleder,59271,150,1,0,0,1,16
FU99533,11950,Volkswagen,Polo,1.6 TDI,Gray,2018,Limousine,Stoff,77791,95,0,1,0,1,36
AT67737,10040,Opel,Adam,1.4 Turbo,White,2015,Limousine,Teilleder,69606,150,1,0,0,1,6
GZ75370,14099,Audi,A1,1.0 TFSI,Black,2018,Limousine,Teilleder,42028,95,1,0,0,1,41
EW61198,7201,Skoda,Rapid,1.2 TSI,Gray,2014,Limousine,Stoff,69292,105,1,0,0,1,38
CZ76907,30753,Volvo,XC 60,2.0 D4,Black,2018,SUV,Alcantara,43252,190,0,1,1,0,34
GM49925,7114,Skoda,Octavia,1.6 TDI,Silver,2015,Kombi,Stoff,111188,105,0,1,0,1,10
ME31077,16399,Mercedes-Benz,E-Klasse,E 220 CDI,Gray,2014,Limousine,Leder,56856,170,0,1,1,0,30
AL52706,10323,Opel,Astra K,1.6 CDTI,Gray,2019,Kombi,Stoff,108772,135,0,1,1,0,3
GL00970,8293,BMW,1er,114i,Black,2013,Limousine,Stoff,99950,102,1,0,0,1,13
PD27499,18282,Fiat,124 Spider,1.4 Turbo,Black,2016,Cabrio,Leder,7899,140,1,0,0,1,61
FX19759,8500,Volkswagen,Golf VII,1.2 TSI,Gray,2016,Limousine,Stoff,111413,85,1,0,0,1,36
JW33463,20682,Volkswagen,Tiguan,1.4 TSI,Black,2017,SUV,Stoff,66462,150,1,0,1,0,40
AK68912,6602,Ford,Fiesta,1.0 EcoBoost,White,2013,Limousine,Stoff,77445,100,1,0,1,0,2
AG23963,20013,Audi,A5 Sportback,2.0 TFSI,Gray,2017,Kombi,Leder,97185,190,1,0,0,1,66
FG15687,12305,Audi,A3,1.4 TFSI,Black,2015,Limousine,Stoff,96696,150,1,0,0,1,19
LW04047,21541,Seat,Leon,2.0 TSI,Gray,2018,Limousine,Alcantara,41081,300,1,0,1,0,35
DY11209,19503,Audi,Q5,2.0 TDI,White,2015,SUV,Stoff,93838,190,0,1,1,0,24
AP45704,10828,Dacia,Duster II,1.3 TCe,Orange,2019,SUV,Stoff,19251,131,1,0,0,1,48
DZ51827,33609,Mercedes-Benz,GLC-Klasse,GLC 250,Gray,2018,SUV,Leder,52256,210,1,0,1,0,72
HH52080,11369,Dacia,Logan MCV II,0.9 TCe,White,2019,Kombi,Stoff,16987,90,1,0,0,1,10
