company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
"Auto Andreas Zellingen, Inh. Andrei Sipos-Mocanu",6,Small_buyer,3,3,5,120,2008,125566,4334,0.166666667,0.166666667,0.666666667,0.5,0.333333333,0.166666667,630
Josef Novotný,2,Small_buyer,1,6,4,122,2013,208233,7147,0.5,0,0.5,0.5,0.5,0,1017.5
Jens Böhnke,1,Small_buyer,1,7,2,87,2005,106207,1550,0,0,1,0,1,0,780
Auto - Ecke Dumrose & Grunert Gbr,1,Small_buyer,1,8,1,67,2005,65444,572,0,0,1,0,1,0,356
Pavel Škamrala,9,Small_buyer,3,3,6,101,2009,142464,4264,0,0,1,0.444444444,0.555555556,0,885.5555556
JB auta Zlín s.r.o.,5,Small_buyer,3,6,5,161,2007,179473,6432,0,0,1,0.2,0.8,0,724
KATSENOS PANAGIOTIS NIKOLAOS,1,Small_buyer,1,10,2,95,2011,193001,2575,0,0,1,1,0,0,52
TSOUTSAS DIMITRIOS VASILEIOS,1,Small_buyer,1,6,3,110,2015,161426,9549,0,0,1,1,0,0,432
BV PACHA AUTOMOBILE,6,Small_buyer,3,7,3,75,2005,182513,1234,0,0,1,0,1,0,524.3333333
"KRYSTYNA BERUS FIRMA ""KRIS""",5,Small_buyer,3,8,5,106,2012,103431,6469,0,0,1,0.2,0.8,0,606.6
ARHICON PROIECT SRL,1,Small_buyer,1,9,2,105,2010,266698,4727,0,0,1,1,0,0,137
SASU AUTO'SIMO,27,Medium_buyer,6,1,11,236,2012,67571,22539,0.296296296,0.296296296,0.407407407,0.148148148,0.851851852,0,1311.888889
"PCR-Automobile, Inh. René Hein",1,Small_buyer,1,7,4,85,2016,24638,13745,0,0,1,0,1,0,1086
UTICAR Korlátolt Felelősségű Társaság,5,Small_buyer,3,7,4,95,2007,159890,2047,0,0,1,0,1,0,427.2
Zdeněk Ředina,4,Small_buyer,2,8,5,145,2011,258992,5445,0.5,0,0.5,0.75,0.25,0,13.25
AVTO DEMO DOOEL DELCHEVO,3,Small_buyer,2,4,5,129,2010,129538,6883,0,0,1,1,0,0,532.6666667
Autobedrijf M.Morren,8,Small_buyer,3,7,9,167,2015,77608,16791,0.375,0.25,0.375,0.125,0.875,0,-449.25
"Autohaus Siebenbürger, Inh. Raul Siebenbürger",16,Medium_buyer,5,7,8,115,2010,108438,4832,0,0.125,0.875,0.0625,0.9375,0,578.625
Remco Nieuwenhuis Auto's,2,Small_buyer,1,8,6,255,2011,128239,18671,0.5,0,0.5,0,1,0,1481
COMITAREL s.r.o.,5,Small_buyer,3,8,5,132,2011,265504,6162,0,0,1,1,0,0,575.8
Jakub Korybski,2,Small_buyer,1,7,2,107,2007,234611,1680,0,0,1,0.5,0.5,0,256.5
Tenera Service OÜ,1,Small_buyer,1,10,4,300,2011,228777,10900,0,1,0,1,0,0,1074
"Car Zone, Inh. Walid Farhat",2,Small_buyer,1,7,4,177,2011,164687,7299,0,1,0,0.5,0.5,0,1015.5
Autohandel Nienhuis GmbH,12,Small_buyer,4,3,10,149,2018,50421,22856,0,1,0,0,0,1,1148.916667
RUI MIGUEL NEVES BANDEIRA MAIA,2,Small_buyer,1,6,4,83,2016,55520,9324,0,0.5,0.5,0,0.5,0.5,953
EMIL'AUTO,6,Small_buyer,3,9,7,135,2012,70969,10122,0.166666667,0,0.833333333,0.166666667,0.833333333,0,863.8333333
SAS SAGEA,1,Small_buyer,1,9,5,279,2020,28797,30452,1,0,0,0,1,0,564
"Eric Günzel, Inh. Eric Günzel",2,Small_buyer,1,10,2,100,2002,186629,1249,0,0,1,1,0,0,-5
"IQ-Cars, Inh. Selcuk Tuna",9,Small_buyer,3,6,4,76,2002,59454,1856,0,0.222222222,0.777777778,0,1,0,425
AUTOHAUS PEREZ GMBH,25,Medium_buyer,6,5,12,222,2019,31570,45179,0.28,0.72,0,0.16,0.64,0.2,1388.04
"GbR Daniele La Monica, Fabian Tobias Scheffer",6,Small_buyer,3,6,5,116,2009,124965,4203,0.166666667,0.166666667,0.666666667,0.333333333,0.666666667,0,509.5
"Autozentrum Beckum GbR, Inh. Tarik Alhaj",1,Small_buyer,1,10,2,105,2009,68893,3750,1,0,0,0,1,0,561
Autohaus Dax GmbH,1,Small_buyer,1,9,4,120,2020,10769,16800,0,0,1,0,1,0,-1347
